運動選手|、競技者、スポーツ選手	athlete
乗組員（全員）|；乗務員；一段；作業チーム	crew
工芸|；技巧、商売；手工業、悪知恵；船舶、飛行機；小型船	craft
衛星|；人工衛星；衛星国家	satellite
領域|；球体	sphere
軌道|、行路；範囲	orbit
液体|；流動体	fluid
石油|	petroleum
炎|；激情	flame
漂流|；漂流物；吹きだまり；趣旨	drift
潮|（の干満）；形勢；傾向；流れ；栄枯盛衰	tide
容易さ|；才能；施設、設備	facility
役に立つこと|；実用向きのもの；有用性；公共施設、公共料金	utility
速度|	velocity
愚行|；愚かさ	folly
大失敗|	blunder
わな|；策略	trap
誘惑|；（釣りの）ルアー；おとり	lure
目撃者|；証人；証拠	witness
試み|；試練；裁判；試練；苦労	trial
罪|；ひどいこと	sin
法律違反|；有罪；罪の意識；罪悪感	guilt
陪審|；（コンクール等の）陪審員団	jury
評決|；決定、判断	verdict
判決|；文	sentence
刑罰|；罰金、ペナルティー	penalty
留置場|；刑務所；拘置所	jail
孤独|；へき地	solitude
悲しみ|；後悔	sorrow
深い悲しみ|；悲嘆	grief
